,gender,age,amount_music,life_enjoyment,resilience,balanced_life,emotional_flex,self_actualization,trauma,total_health,health_categorical,energy,dance,liveness,valence,tempo,instrumental,acoustic,popularity,genres
41,1,1,1,5,4,4,5,4,0,22,1.0,0.741,0.474,0.115,0.402,174.1,0.0,0.0602,76.0,"['pop rap', 'rap']"
42,1,1,1,5,4,4,5,4,0,22,1.0,0.133,0.34600000000000003,0.109,0.332,174.291,1.11e-05,0.966,56.0,['neo mellow']
43,1,1,2,4,5,4,6,6,0,25,1.0,0.405,0.44,0.11900000000000001,0.174,83.78,0.8759999999999999,0.97,46.0,['progressive house']
44,1,1,2,4,5,4,6,6,0,25,1.0,0.915,0.7020000000000001,0.163,0.909,128.012,0.0109,0.133,32.0,"['big room', 'chicago house', 'dance pop', 'edm', 'electro house', 'pop', 'progressive electro house', 'progressive house', 'tropical house', 'vocal house']"
45,1,1,2,4,5,4,6,6,0,25,1.0,0.483,0.32899999999999996,0.498,0.0702,101.33200000000001,0.807,0.0433,42.0,"['bow pop', 'chamber pop', 'compositional ambient', 'dream pop', 'ethereal wave', 'icelandic pop', 'icelandic rock', 'indie folk', 'melancholia', 'post-rock']"
46,1,1,2,3,4,1,4,4,0,16,1.0,0.76,0.5529999999999999,0.364,0.213,131.986,0.00772,0.00282,52.0,"['bass trap', 'edm', 'electronic trap', 'pop', 'tropical house']"
47,1,1,2,3,4,1,4,4,0,16,1.0,0.7340000000000001,0.623,0.145,0.3720000000000001,107.853,1.9e-06,0.0162,83.0,"['dance pop', 'pop', 'post-teen pop']"
48,0,1,1,4,4,2,5,5,1,20,1.0,0.525,0.8859999999999999,0.057,0.708,145.99,0.0,0.23600000000000002,64.0,"['alternative r&b', 'pop rap', 'rap', 'trap', 'underground hip hop', 'virginia hip hop']"
49,0,1,1,4,4,2,5,5,1,20,1.0,0.508,0.9229999999999999,0.126,0.168,108.039,1.21e-05,0.10400000000000001,73.0,"['indonesian hip hop', 'underground hip hop', 'vapor trap']"
50,0,1,1,4,4,2,5,5,1,20,1.0,0.5820000000000001,0.688,0.0663,0.872,85.486,0.000157,0.23,57.0,"['indie psych-pop', 'indie psych-rock', 'shimmer psych']"
51,0,1,0,4,4,2,3,6,1,19,1.0,0.725,0.6679999999999999,0.0561,0.7290000000000001,191.94400000000002,0.000479,0.0102,78.0,"['australian dance', 'australian pop', 'dance pop', 'pop']"
52,0,1,0,4,4,2,3,6,1,19,1.0,0.711,0.5529999999999999,0.142,0.293,99.515,0.0,0.0216,67.0,"['dance pop', 'electropop', 'indie poptimism', 'modern rock', 'neo mellow', 'pop', 'post-teen pop', 'viral pop']"
53,0,1,0,4,4,2,3,6,1,19,1.0,0.544,0.452,0.10400000000000001,0.158,133.042,5.33e-06,0.0631,58.0,"['dance pop', 'pop', 'post-teen pop']"
54,0,1,2,4,3,3,2,2,1,14,0.0,0.894,0.376,0.105,0.0433,126.287,0.00132,0.000487,50.0,"['metalcore', 'pop punk', 'rap metal', 'screamo']"
55,0,1,2,4,3,3,2,2,1,14,0.0,0.789,0.6579999999999999,0.0965,0.27399999999999997,108.012,0.0,0.0298,49.0,"['emo', 'modern rock', 'pop punk', 'pop rock', 'screamo']"
56,0,1,2,4,3,3,2,2,1,14,0.0,0.892,0.442,0.0758,0.237,151.914,7.92e-06,0.00267,60.0,"['emo', 'modern rock', 'pop punk', 'post-hardcore', 'screamo']"
57,1,1,2,5,4,4,4,6,0,23,1.0,0.7959999999999999,0.6970000000000001,0.162,0.312,85.00200000000002,0.0,0.155,51.0,"['bhangra', 'desi', 'desi hip hop', 'filmi', 'indian folk', 'indian pop', 'modern bollywood', 'punjabi', 'sufi']"
58,1,1,2,5,4,4,4,6,0,23,1.0,0.693,0.44799999999999995,0.0815,0.55,91.561,2.02e-06,0.127,57.0,['desi hip hop']
59,0,1,2,5,3,4,3,6,1,21,1.0,0.7390000000000001,0.644,0.0772,0.231,74.154,0.0,0.0311,62.0,"['dance pop', 'pop', 'pop rap', 'r&b', 'rap']"
60,1,1,0,3,2,4,4,4,0,17,1.0,0.6940000000000001,0.934,0.478,0.835,123.829,1.2e-06,0.0962,74.0,"['dance pop', 'hip pop', 'pop', 'post-teen pop', 'r&b']"
61,1,1,0,3,2,4,4,4,0,17,1.0,0.569,0.899,0.0419,0.516,115.01899999999999,0.589,0.000898,10.0,[]
62,1,1,1,5,3,1,4,4,1,17,1.0,0.172,0.5670000000000001,0.24,0.198,93.009,0.9229999999999999,0.993,2.0,[]
63,1,1,1,5,3,1,4,4,1,17,1.0,0.16,0.569,0.107,0.12,177.96099999999996,0.937,0.976,0.0,[]
64,1,1,2,2,5,5,6,5,0,23,1.0,0.6609999999999999,0.698,0.228,0.8240000000000001,131.808,0.0,0.636,58.0,"['adult standards', 'brill building pop', 'christmas', 'classic soul', 'rock-and-roll', 'soul']"
65,1,1,2,2,5,5,6,5,0,23,1.0,0.21100000000000002,0.428,0.0884,0.402,185.239,5.58e-06,0.182,50.0,"['memphis soul', 'southern soul']"
66,1,1,2,2,5,5,6,5,0,23,1.0,0.789,0.732,0.12300000000000001,0.607,107.978,3.11e-05,0.0459,60.0,"['escape room', 'hip hop', 'indie r&b', 'la indie', 'rap']"
67,1,0,1,5,4,5,5,6,0,25,1.0,0.929,0.852,0.563,0.636,110.679,4.93e-06,0.0614,52.0,"['afrobeats', 'azonto', 'dance pop', 'grime']"
68,1,0,1,5,4,5,5,6,0,25,1.0,0.963,0.754,0.0753,0.863,87.97,2.34e-05,0.064,30.0,"['bhangra', 'desi', 'desi hip hop', 'indian pop', 'punjabi']"
69,0,1,0,3,3,3,4,4,1,17,1.0,0.6709999999999999,0.7,0.114,0.24600000000000002,117.962,0.215,0.0859,52.0,"['dance pop', 'neo mellow', 'piano rock', 'pop', 'pop quebecois', 'pop rap', 'pop rock']"
70,0,1,0,3,3,3,4,4,1,17,1.0,0.7240000000000001,0.498,0.157,0.384,145.908,6.75e-06,0.281,48.0,"['bass trap', 'brostep', 'edm', 'electro house', 'electronic trap', 'progressive electro house']"
71,1,1,1,5,6,5,5,6,1,27,1.0,0.61,0.7829999999999999,0.0983,0.418,100.04700000000001,0.0,0.34299999999999997,69.0,"['pop', 'pop rock']"
72,1,1,0,4,6,2,5,5,0,22,1.0,0.688,0.312,0.321,0.39,141.7,0.00162,0.298,49.0,"['alternative hip hop', 'hardcore hip hop', 'hip hop', 'rap', 'southern hip hop', 'underground hip hop']"
73,1,1,0,4,6,2,5,5,0,22,1.0,0.91,0.665,0.22699999999999998,0.887,84.09899999999998,0.0,0.0394,65.0,"['conscious hip hop', 'east coast hip hop', 'gangster rap', 'hardcore hip hop', 'hip hop', 'pop rap', 'rap', 'southern hip hop']"
74,1,1,0,4,6,2,5,5,0,22,1.0,0.39299999999999996,0.596,0.539,0.36,107.425,0.0,0.637,73.0,"['pop rap', 'rap']"
75,1,1,2,3,5,2,5,4,0,19,1.0,0.946,0.4,0.155,0.611,161.591,0.853,0.000136,66.0,"['garage rock', 'indie rock', 'modern rock', 'rock']"
76,1,1,2,3,5,2,5,4,0,19,1.0,0.991,0.248,0.8340000000000001,0.39799999999999996,159.37,0.0462,0.0115,59.0,"['alternative metal', 'alternative rock', 'blues-rock', 'garage rock', 'modern rock', 'neo-psychedelic', 'nu metal', 'post-grunge', 'rock', 'stoner metal', 'stoner rock']"
77,1,1,2,3,5,2,5,4,0,19,1.0,0.966,0.502,0.11699999999999999,0.638,159.94799999999995,1.56e-06,0.00575,63.0,"['modern rock', 'pop punk', 'punk']"
78,1,1,2,5,5,2,5,4,0,21,1.0,0.93,0.5529999999999999,0.0673,0.5379999999999999,123.20100000000001,0.0582,0.00033999999999999997,51.0,"['alternative metal', 'canadian punk', 'nu metal', 'pop punk', 'post-grunge', 'punk']"
79,1,1,2,5,5,2,5,4,0,21,1.0,0.91,0.6679999999999999,0.0937,0.5770000000000001,125.81200000000001,0.0,0.0254,65.0,"['big room', 'dance pop', 'deep big room', 'edm', 'electro house', 'pop', 'progressive electro house', 'progressive house', 'tropical house']"
80,1,1,2,5,5,2,5,4,0,21,1.0,0.701,0.586,0.055,0.254,104.95700000000001,0.0,0.0203,79.0,"['dance pop', 'edm', 'electronic trap', 'pop', 'tropical house']"
81,1,1,2,5,4,6,5,2,0,22,1.0,0.562,0.603,0.109,0.244,100.038,0.0,0.146,70.0,"['canadian pop', 'pop', 'rap']"
82,1,1,2,5,4,6,5,2,0,22,1.0,0.40299999999999997,0.501,0.124,0.27,132.608,1.1e-05,0.114,72.0,"['canadian pop', 'pop', 'rap']"
83,0,1,1,2,4,3,1,5,0,15,0.0,0.52,0.5379999999999999,0.3670000000000001,0.6779999999999999,106.031,0.0,0.00425,69.0,"['alternative rock', 'garage rock', 'indie rock', 'modern rock', 'permanent wave', 'rock']"
84,0,1,1,2,4,3,1,5,0,15,0.0,0.654,0.39399999999999996,0.11199999999999999,0.264,135.188,6.96e-05,0.0404,64.0,"['deep new americana', 'indie folk', 'modern folk rock', 'modern rock', 'new americana', 'rock', 'stomp and holler']"
85,1,1,1,4,2,2,1,1,0,10,0.0,0.855,0.625,0.35700000000000004,0.6679999999999999,124.977,0.0,0.0013800000000000002,71.0,"['dance pop', 'pop', 'post-teen pop']"
86,1,1,1,4,2,2,1,1,0,10,0.0,0.762,0.508,0.10800000000000001,0.444,99.963,0.000122,0.254,68.0,"['australian dance', 'australian pop', 'dance pop', 'pop']"
87,1,1,1,4,2,2,1,1,0,10,0.0,0.28300000000000003,0.5870000000000001,0.149,0.34299999999999997,141.961,0.0,0.882,70.0,['pop']
88,1,2,1,4,5,5,5,5,0,24,1.0,0.609,0.7,0.14400000000000002,0.392,109.98,5.25e-06,0.0852,57.0,"['dance pop', 'pop', 'post-teen pop']"
89,1,2,1,4,5,5,5,5,0,24,1.0,0.267,0.579,0.132,0.353,74.899,0.000562,0.11800000000000001,67.0,"['adult standards', 'folk', 'folk rock', 'mellow gold', 'rock', 'roots rock', 'singer-songwriter', 'soft rock']"
90,1,2,1,4,5,5,5,5,0,24,1.0,0.40399999999999997,0.371,0.0805,0.153,74.38600000000002,0.004529999999999999,0.669,69.0,"['album rock', 'british invasion', 'classic rock', 'protopunk', 'rock']"
91,1,1,5,0,3,0,0,3,0,6,0.0,0.809,0.499,0.22399999999999998,0.168,140.03799999999998,0.41600000000000004,0.0045899999999999995,58.0,"['contemporary country', 'country', 'country road', 'modern country rock', 'redneck']"
92,1,1,5,0,3,0,0,3,0,6,0.0,0.672,0.695,0.0756,0.245,104.988,8.44e-05,0.013999999999999999,74.0,"['dance pop', 'danish pop', 'electropop', 'pop', 'tropical house']"
93,1,1,5,0,3,0,0,3,0,6,0.0,0.524,0.748,0.111,0.6609999999999999,95.01,0.0,0.414,88.0,"['edm', 'electropop', 'pop', 'tropical house']"
94,0,1,1,3,5,4,5,3,0,20,1.0,0.376,0.5329999999999999,0.0926,0.187,165.007,0.248,0.0302,79.0,"['british invasion', 'merseybeat', 'psychedelic rock', 'rock']"
95,0,1,1,3,5,4,5,3,0,20,1.0,0.244,0.466,0.11800000000000001,0.19899999999999998,95.022,0.0129,0.0059299999999999995,20.0,[]
96,0,1,1,0,2,2,0,5,1,9,0.0,0.524,0.748,0.111,0.6609999999999999,95.01,0.0,0.414,88.0,"['edm', 'electropop', 'pop', 'tropical house']"
97,0,1,0,3,2,2,1,3,0,11,0.0,0.664,0.711,0.235,0.579,127.834,0.0,0.204,47.0,"['belgian pop', 'belgian rock', 'pop quebecois']"
98,0,1,0,3,2,2,1,3,0,11,0.0,0.612,0.735,0.10300000000000001,0.395,105.056,4.120000000000001e-05,0.289,59.0,['classical performance']
