,Unnamed: 0,gender,age,amount_music,life_enjoyment,resilience,balanced_life,emotional_flex,self_actualization,trauma,total_health,health_categorical,song,artist,energy,dance,liveness,valence,tempo,instrumental,acoustic,popularity,genres
195,195,Male,18 - 30,1 - 2,2,3,4,2,5,Yes,16,1.0,Grow Up,Paramore,0.884,0.5379999999999999,0.0947,0.426,92.999,2.08e-06,0.0135,56.0,"['candy pop', 'emo', 'pixie', 'pop emo', 'pop punk']"
196,196,Male,18 - 30,0 - 1,4,3,3,3,4,No,17,1.0,Too Good At Goodbyes,Sam Smith,0.373,0.6609999999999999,0.177,0.523,91.5,0.0,0.615,81.0,['pop']
197,197,Female,18 - 30,1 - 2,3,2,3,1,3,Yes,12,0.0,Oasis (feat. Foxes),Kygo,0.67,0.606,0.354,0.212,119.96,6.6e-06,0.138,62.0,"['edm', 'pop', 'tropical house']"
198,198,Female,18 - 30,1 - 2,3,2,3,1,3,Yes,12,0.0,Raging,Kygo,0.6890000000000001,0.55,0.207,0.408,99.904,0.0,0.0498,67.0,"['edm', 'pop', 'tropical house']"
199,199,Male,18 - 30,0 - 1,3,2,1,5,3,No,14,0.0,Who,DJ ESCO,0.635,0.846,0.343,0.51,110.034,0.0,0.0969,47.0,"['canadian hip hop', 'canadian pop', 'hip hop', 'rap', 'toronto rap']"
200,200,Male,18 - 30,0 - 1,3,2,1,5,3,No,14,0.0,Gas Panic!,Oasis,0.677,0.365,0.403,0.261,147.906,0.0033,0.0111,34.0,"['britpop', 'madchester', 'permanent wave', 'rock']"
201,201,Male,30+,1 - 2,2,5,3,6,5,No,21,1.0,United We Dance - Vicetone Edit,Vicetone,0.65,0.594,0.267,0.106,126.0,0.0142,0.014,59.0,"['big room', 'brostep', 'catstep', 'dance pop', 'deep big room', 'edm', 'electro house', 'pop', 'progressive electro house', 'tracestep', 'tropical house']"
202,202,Male,30+,1 - 2,2,5,3,6,5,No,21,1.0,By Your Side (Originally Performed By Jonas Blue Feat. RAYE),New Tribute Kings,0.722,0.768,0.0807,0.29,122.975,0.0056700000000000006,0.387,3.0,[]
203,203,Female,18 - 30,2+,3,3,5,4,5,No,20,1.0,R.O.D.,"G-DRAGON, Lydia Paek",0.852,0.6729999999999999,0.104,0.586,144.953,0.0,0.031,45.0,['k-pop']
204,204,Female,18 - 30,2+,3,3,5,4,5,No,20,1.0,Rendez Vous,INNA,0.799,0.903,0.0545,0.825,119.0,0.00126,0.32,35.0,['dance pop']
205,205,Female,18 - 30,0 - 1,2,3,5,2,5,Yes,17,1.0,world is yours,"Genius P.J's, Daoko",0.895,0.431,0.0866,0.246,147.734,0.0,0.0147,3.0,['brooklyn drill']
206,206,Female,18 - 30,0 - 1,2,3,5,2,5,Yes,17,1.0,Heartburn - Jarami Remix,Wafia,0.513,0.647,0.393,0.445,103.077,0.0,0.509,53.0,"['aussietronica', 'deep australian indie', 'electropop']"
207,207,Female,18 - 30,0 - 1,2,3,5,2,5,Yes,17,1.0,Bottle of Jack - Achtabahn Deep House Remix,Mikey Wax,0.54,0.8,0.531,0.529,119.007,4.03e-06,0.00917,39.0,[]
208,208,Female,18 - 30,0 - 1,3,3,4,2,3,No,15,0.0,Scars,James Bay,0.451,0.424,0.11,0.212,129.768,0.00048,0.09,51.0,"['neo mellow', 'pop']"
209,209,Female,18 - 30,2+,2,3,2,2,3,Yes,12,0.0,Can You Hear The Voice Of Buddha,Voice of Buddha,0.8540000000000001,0.5539999999999999,0.336,0.532,130.97799999999998,0.0785,0.00611,6.0,[]
210,210,Female,18 - 30,2+,5,4,5,4,6,No,24,1.0,Lay Low,Crystal Fighters,0.746,0.322,0.682,0.508,99.407,3.44e-05,0.0525,25.0,"['alternative dance', 'indietronica', 'new rave']"
211,211,Female,18 - 30,2+,5,4,5,4,6,No,24,1.0,It's Strange (feat. K.Flay),Louis The Child,0.4920000000000001,0.8370000000000001,0.102,0.417,85.95100000000002,0.0401,0.371,68.0,"['edm', 'electropop', 'indie poptimism', 'pop', 'tropical house']"
212,212,Female,18 - 30,2+,5,4,5,4,6,No,24,1.0,Limelight (NGHTMRE Remix),Just A Gent,0.5760000000000001,0.574,0.208,0.287,145.094,0.00147,0.0579,65.0,"['aussietronica', 'bass trap', 'brostep', 'edm', 'electronic trap', 'tropical pop edm', 'vapor soul', 'vapor twitch']"
213,213,Female,18 - 30,2+,4,3,5,4,4,No,20,1.0,Temperature,Machel Montano,0.964,0.802,0.261,0.6809999999999999,127.983,0.0,0.12,19.0,"['chutney', 'dancehall', 'soca']"
214,214,Female,18 - 30,2+,4,3,5,4,4,No,20,1.0,Controlla,Drake,0.468,0.59,0.101,0.349,92.287,0.0,0.0789,73.0,"['canadian hip hop', 'canadian pop', 'hip hop', 'rap', 'toronto rap']"
215,215,Female,18 - 30,2+,4,3,5,4,4,No,20,1.0,La Gozadera (feat. Marc Anthony),Gente De Zona,0.989,0.616,0.172,0.902,95.036,0.0,0.166,74.0,"['cubaton', 'latin', 'latin hip hop', 'latin pop']"
216,216,Male,18 - 30,0 - 1,5,5,5,5,5,No,25,1.0,Feel Invincible,Skillet,0.8859999999999999,0.603,0.26,0.395,126.025,0.0,0.00045,72.0,"['alternative metal', 'christian alternative rock', 'christian music', 'christian rock', 'nu metal', 'post-grunge', 'rap metal', 'rap rock']"
217,217,Female,18 - 30,1 - 2,3,4,4,3,5,Yes,19,1.0,Close Friends (Lil Baby & Gunna),Lil Baby,0.585,0.665,0.0789,0.6579999999999999,158.953,0.0,0.044,81.0,"['pop rap', 'rap', 'trap music']"
218,218,Female,18 - 30,1 - 2,3,4,4,3,5,Yes,19,1.0,I'm Sexy and I Know It,Tim Yacket,0.931,0.753,0.5720000000000001,0.713,129.976,0.0,0.0429,40.0,[]
219,219,Female,18 - 30,2+,2,4,5,4,5,No,20,1.0,Bungalow,Scott Helman,0.828,0.7070000000000001,0.107,0.5379999999999999,119.984,1.77e-06,0.0415,50.0,['canadian folk']
220,220,Female,18 - 30,2+,2,4,5,4,5,No,20,1.0,Cross My Mind Pt. 2 (feat. Kiiara),A R I Z O N A,0.805,0.632,0.161,0.429,93.009,5.83e-05,0.0646,69.0,"['dance pop', 'deep tropical house', 'electropop', 'indie poptimism', 'pop', 'tropical house']"
221,221,Female,18 - 30,2+,5,2,5,1,1,No,14,0.0,Never Wrong,Disturbed,0.996,0.629,0.314,0.348,104.974,0.000284,0.000931,54.0,"['alternative metal', 'nu metal', 'post-grunge', 'rap metal']"
222,222,Female,18 - 30,2+,5,2,5,1,1,No,14,0.0,Animals,Maroon 5,0.742,0.279,0.593,0.328,189.868,0.0,0.000185,74.0,['pop']
223,223,Female,18 - 30,2+,5,2,5,1,1,No,14,0.0,The Pulse of the Dead,Parasite Inc.,0.932,0.529,0.203,0.237,130.05,0.106,7.7e-05,43.0,['melodic death metal']
224,224,Male,18 - 30,1 - 2,2,2,4,2,6,No,16,1.0,That Girl,Justin Timberlake,0.354,0.728,0.132,0.636,132.762,0.0,0.76,48.0,"['dance pop', 'pop']"
225,225,Male,18 - 30,1 - 2,2,2,4,2,6,No,16,1.0,Psycho (feat. Ty Dolla $ign),Post Malone,0.5589999999999999,0.7390000000000001,0.112,0.439,140.124,0.0,0.58,92.0,"['pop', 'rap']"
226,226,Male,18 - 30,1 - 2,2,2,4,2,6,No,16,1.0,3 Wayz (feat. Travis Scott),Ty Dolla $ign,0.405,0.778,0.104,0.0605,120.981,0.0,0.112,54.0,"['hip hop', 'pop', 'pop rap', 'r&b', 'rap', 'trap music']"
227,227,Female,18 - 30,0 - 1,2,4,2,3,6,Yes,17,1.0,Intro,The xx,0.778,0.617,0.128,0.152,100.363,0.925,0.459,67.0,"['downtempo', 'dream pop', 'indietronica', 'pop']"
228,228,Female,18 - 30,0 - 1,2,4,2,3,6,Yes,17,1.0,Conversation 16,The National,0.851,0.5539999999999999,0.24,0.513,116.976,0.913,0.611,48.0,"['chamber pop', 'folk-pop', 'indie folk', 'indie pop', 'indie rock', 'modern rock', 'stomp and holler']"
