,Unnamed: 0,Unnamed: 0.1,id,songs,song,artist,energy,dance,liveness,valence,tempo,instrumental,acoustic,popularity,genres
112,196,196,65,Mistletoe Justin Bieber,Mistletoe,Justin Bieber,0.56,0.6579999999999999,0.0794,0.8540000000000001,161.994,0.0,0.498,65.0,"['canadian pop', 'dance pop', 'pop', 'post-teen pop']"
113,198,198,66,Lost Luu Breeze,Lost,Luu Breeze,0.586,0.802,0.0906,0.563,91.03,0.000304,0.0203,10.0,"['canadian hip hop', 'trap soul']"
114,199,199,66,KUNGS this girl,This Girl (Kungs Vs. Cookin' On 3 Burners) - Kungs Vs. Cookin' On 3 Burners,Kungs,0.7170000000000001,0.792,0.226,0.466,121.985,3.59e-05,0.0927,80.0,"['deep tropical house', 'edm', 'pop', 'tropical house']"
115,200,200,66,Love me now john legend,Love Me Now,John Legend,0.762,0.488,0.0763,0.7090000000000001,123.889,0.0,0.591,69.0,"['neo soul', 'pop', 'r&b', 'urban contemporary']"
116,201,201,67,La bicicleta Carlos Vives ,La Bicicleta,Carlos Vives,0.944,0.745,0.333,0.951,179.991,1.48e-06,0.21,77.0,"['champeta', 'colombian pop', 'dance pop', 'latin', 'latin pop', 'tropical', 'vallenato']"
117,202,202,67,Summertime Vybz Kartel,Summertime,Vybz Kartel,0.7140000000000001,0.489,0.309,0.5760000000000001,199.073,0.0,0.274,41.0,"['dancehall', 'reggae fusion']"
118,203,203,67,La carretera Prince Royce ,La Carretera,Prince Royce,0.6859999999999999,0.747,0.1,0.913,122.005,0.0,0.5870000000000001,67.0,"['bachata', 'dance pop', 'latin', 'latin hip hop', 'latin pop', 'pop', 'tropical']"
119,204,204,68,Evil woman ELO,Evil Woman,Electric Light Orchestra,0.6559999999999999,0.6970000000000001,0.221,0.8809999999999999,119.632,4.66e-05,0.43,62.0,"['album rock', 'art rock', 'bow pop', 'classic rock', 'folk rock', 'glam rock', 'mellow gold', 'rock', 'soft rock', 'symphonic rock']"
120,208,208,69,This ones for you zara larson,This One's for You (Originally Performed by David Guetta Ft. Zara Larson) - Karaoke Version,Hit The Button Karaoke,0.589,0.622,0.0671,0.44,109.977,0.123,0.0054,6.0,['karaoke']
121,209,209,69,Stereo love ,Stereo Love - Radio Edit,Edward Maya,0.726,0.775,0.11,0.206,126.999,0.0235,0.0399,59.0,[]
